Kommun,Population,14 days Cumulative Cases per 10k Population,Total Confirmed Cases,Total % of Population With Confirmed Infected,Total Deaths,Deaths per 10k Population,% Vaccinated - Dose 1,% Vaccinated - Dose 2,Vaccinated - Dose 1,Vaccinated - Dose 2,Week 23,Week 24,Week 25,Week 26,Week 27,Week 28,Week 29,Week 30,Week 31,Week 32,Week 33,Week 34,Change Rate,Case Notification rate per 10k Population Previous Week,Region
Kiruna,22666,2.2,2664,11.8%,29,12.8,85.2%,66.5%,15518,12116, 75, 53, 23, 8, 5, 7, 0, 1, 10, 5, 5, 0,0.0,4.4,Norrbotten
Klippan,17697,7.3,2061,11.6%,17,9.6,75.1%,66.5%,10603,9387, 5, 4, 11, 8, 9, 2, 4, 4, 3, 5, 11, 2,0.2,9.0,Skåne
Knivsta,19070,6.8,1774,9.3%,8,4.2,88.7%,75.9%,12179,10417, 7, 3, 2, 3, 1, 1, 1, 6, 1, 3, 9, 4,0.4,6.3,Uppsala
Kramfors,18112,0.0,1566,8.6%,46,25.4,84.3%,75.3%,12570,11238, 8, 5, 3, 0, 0, 0, 1, 1, 0, 0, 0, 0,,0.0,Västernorrland
Kristianstad,86235,4.8,10866,12.6%,109,12.6,81.9%,70.8%,55614,48102, 41, 19, 10, 24, 14, 6, 11, 13, 32, 18, 29, 12,0.4,5.5,Skåne
Kristinehamn,24220,7.0,1447,6.0%,16,6.6,88.3%,82.0%,17358,16119, 16, 16, 21, 5, 0, 1, 2, 0, 2, 4, 9, 8,0.9,5.4,Värmland
Krokom,15027,10.0,1092,7.3%,3,2.0,86.8%,75.6%,9856,8582, 7, 1, 0, 0, 10, 2, 0, 3, 5, 5, 13, 2,0.2,12.0,Jämtland
Kumla,21842,6.0,2238,10.2%,19,8.7,85.7%,81.1%,14279,13518, 9, 3, 3, 5, 1, 1, 0, 7, 3, 4, 11, 2,0.2,6.9,Örebro
Kungsbacka,84849,10.8,9354,11.0%,69,8.1,87.8%,80.2%,56646,51737, 29, 23, 16, 17, 20, 23, 24, 39, 30, 39, 67, 25,0.4,12.5,Halland
Kungsör,8729,5.7,747,8.6%,4,4.6,83.6%,74.3%,5721,5084, 0, 1, 1, 0, 0, 0, 0, 1, 1, 14, 5, 0,0.0,21.8,Västmanland
Kungälv,46993,7.7,5619,12.0%,41,8.7,84.7%,67.5%,30939,24654, 4, 8, 9, 4, 11, 7, 7, 12, 15, 19, 28, 8,0.3,10.0,Västra Götaland
Kävlinge,32066,3.7,3407,10.6%,34,10.6,87.1%,78.7%,20763,18754, 9, 8, 3, 7, 5, 10, 18, 7, 7, 14, 10, 2,0.2,7.5,Skåne
Köping,26160,6.5,2183,8.3%,31,11.9,81.3%,71.7%,16791,14813, 14, 17, 17, 2, 4, 0, 2, 2, 15, 15, 16, 1,0.1,11.9,Västmanland
Laholm,25962,7.3,2940,11.3%,22,8.5,82.7%,72.9%,17064,15040, 5, 2, 0, 7, 4, 3, 5, 16, 10, 9, 14, 5,0.4,8.9,Halland
Landskrona,46317,13.8,5847,12.6%,59,12.7,74.9%,66.2%,27043,23920, 6, 18, 11, 2, 2, 14, 8, 2, 13, 19, 54, 10,0.2,15.8,Skåne
Laxå,5653,3.5,401,7.1%,12,21.2,83.8%,79.9%,3861,3682, 0, 2, 2, 1, 0, 0, 1, 1, 5, 1, 2, 0,0.0,5.3,Örebro
Lekeberg,8446,5.9,674,8.0%,0,0.0,85.3%,80.0%,5435,5102, 4, 5, 2, 5, 1, 1, 0, 2, 7, 10, 3, 2,0.7,15.4,Örebro
Leksand,15782,8.9,1244,7.9%,21,13.3,88.5%,79.4%,11350,10177, 6, 3, 0, 0, 0, 0, 0, 0, 2, 7, 13, 1,0.1,12.7,Dalarna
Lerum,42920,2.8,5830,13.6%,47,11.0,85.2%,67.7%,27019,21476, 10, 6, 9, 1, 3, 7, 16, 7, 16, 7, 10, 2,0.2,4.0,Västra Götaland
Lessebo,8649,1.2,942,10.9%,11,12.7,81.1%,67.2%,5365,4446, 3, 4, 7, 1, 0, 0, 2, 1, 0, 0, 1, 0,0.0,1.2,Kronoberg
Lidingö,48021,8.5,5829,12.1%,99,20.6,85.9%,74.5%,31472,27295, 10, 10, 2, 7, 13, 18, 33, 27, 41, 25, 32, 9,0.3,11.9,Stockholm
Lidköping,40344,6.7,3720,9.2%,46,11.4,85.6%,69.1%,27510,22217, 19, 14, 5, 2, 3, 6, 8, 5, 4, 11, 19, 8,0.4,7.4,Västra Götaland
Lilla Edet,14237,2.1,1508,10.6%,19,13.3,77.5%,63.7%,8670,7123, 2, 2, 3, 0, 0, 0, 0, 1, 3, 2, 3, 0,0.0,3.5,Västra Götaland
Lindesberg,23651,4.7,2068,8.7%,20,8.5,83.0%,77.8%,15649,14675, 1, 0, 0, 2, 0, 0, 2, 3, 3, 5, 9, 2,0.2,5.9,Örebro
Linköping,164750,7.3,15203,9.2%,233,14.1,86.1%,72.5%,112550,94833, 71, 15, 11, 24, 19, 24, 30, 44, 44, 63, 85, 36,0.4,9.0,Östergötland
Ljungby,28429,7.0,3202,11.3%,31,10.9,79.7%,67.7%,18081,15368, 6, 8, 9, 3, 2, 0, 10, 3, 4, 11, 15, 5,0.3,9.1,Kronoberg
Ljusdal,18883,3.7,2331,12.3%,39,20.7,84.0%,76.7%,12824,11717, 3, 3, 1, 10, 3, 0, 2, 1, 0, 2, 6, 1,0.2,4.2,Gävleborg
Ljusnarsberg,4689,21.3,450,9.6%,3,6.4,78.1%,71.9%,3077,2835, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 10, 0,0.0,21.3,Örebro
Lomma,24911,2.4,2696,10.8%,20,8.0,89.9%,83.6%,16413,15277, 8, 21, 11, 4, 1, 8, 9, 8, 10, 8, 3, 3,1.0,4.4,Skåne
Ludvika,26666,3.8,2015,7.6%,42,15.8,81.9%,71.1%,17213,14956, 1, 0, 1, 1, 7, 3, 5, 7, 9, 5, 9, 1,0.1,5.3,Dalarna
Luleå,78604,2.0,8774,11.2%,68,8.7,87.6%,66.8%,55903,42648, 81, 188, 116, 48, 5, 12, 10, 20, 25, 18, 16, 0,0.0,4.3,Norrbotten
Lund,126042,8.3,11462,9.1%,104,8.3,84.8%,74.1%,85705,74934, 41, 40, 32, 30, 21, 28, 44, 44, 55, 50, 81, 24,0.3,10.4,Skåne
Lycksele,12327,3.2,1637,13.3%,12,9.7,87.7%,77.4%,8576,7570, 5, 7, 2, 0, 0, 0, 1, 1, 1, 5, 3, 1,0.3,6.5,Västerbotten
Lysekil,14406,2.8,1421,9.9%,18,12.5,86.0%,76.0%,10175,8995, 7, 1, 0, 3, 5, 3, 1, 0, 2, 5, 4, 0,0.0,6.2,Västra Götaland
Malmö,347744,11.4,42145,12.1%,441,12.7,72.6%,62.9%,198417,171932, 89, 47, 37, 38, 46, 94, 126, 149, 146, 224, 293, 102,0.3,14.9,Skåne
Malung,10112,0.0,1094,10.8%,5,4.9,83.6%,73.3%,6997,6130, 4, 5, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0,,0.0,Dalarna
Malå,3026,6.6,142,4.7%,3,9.9,84.7%,71.0%,2059,1726, 4, 2, 2, 0, 0, 0, 1, 0, 0, 1, 1, 1,1.0,6.6,Västerbotten
Mariestad,24532,8.6,1993,8.1%,17,6.9,85.9%,70.7%,17012,13985, 21, 2, 2, 1, 1, 4, 4, 3, 4, 8, 21, 0,0.0,11.8,Västra Götaland
Mark,34920,7.2,3384,9.7%,51,14.6,80.1%,63.6%,21995,17440, 10, 2, 1, 1, 2, 1, 6, 9, 9, 18, 21, 4,0.2,11.2,Västra Götaland
